x,y,phi,crate,board,sensor,height,row,location,Crystal coord,Cable code,localch,globalch,ycry,xcry,cryID,rouID
0,0,0,0,2,0,2,1,3,0*0,20213,19,59,-617.4,-137.2,550,1100
0,0,0,0,2,1,0,0,0,0*0,21000,0,40,-617.4,-137.2,550,1101
0,1,0,0,2,0,2,1,2,0*1,20212,18,58,-583.1,-222.95,468,936
0,1,0,0,2,1,0,0,1,0*1,21001,1,41,-583.1,-222.95,468,937
0,10,0,1,0,0,2,0,3,0*10,100203,15,15,-274.4,-548.8,660,1320
0,10,0,1,0,1,0,1,0,0*10,101010,4,4,-274.4,-548.8,660,1321
0,11,0,2,2,0,2,1,3,0*11,220213,19,59,-240.10000000000002,-565.95,661,1322
0,11,0,2,2,1,0,0,0,0*11,221000,0,40,-240.10000000000002,-565.95,661,1323
0,12,0,2,2,0,2,1,0,0*12,220210,16,56,-205.8,-583.1,662,1324
0,12,0,2,2,1,0,0,3,0*12,221003,3,43,-205.8,-583.1,662,1325
